epoch,epoch_time,step,train_acc,train_loss,val_acc,val_loss
0,,99,,,0.9165629148483276,0.2522493600845337
0,2.0237252712249756,99,0.7996225357055664,0.4508209228515625,,
1,,199,,,0.9464508295059204,0.1713929921388626
1,2.4243698120117188,199,0.9252910017967224,0.20545150339603424,,
2,,299,,,0.9489414691925049,0.15341241657733917
2,2.7307229042053223,299,0.9381881356239319,0.16271954774856567,,
3,,399,,,0.9452054500579834,0.14855362474918365
3,2.659395456314087,399,0.9471532106399536,0.13897868990898132,,
4,,499,,,0.9638854265213013,0.11510851234197617
4,2.802838087081909,499,0.9567474126815796,0.12290456891059875,,
5,,599,,,0.9539228081703186,0.12237401306629181
5,2.5703043937683105,599,0.9619377255439758,0.10971175879240036,,
6,,699,,,0.9514321088790894,0.14481890201568604
6,2.756202220916748,699,0.9620950222015381,0.10270528495311737,,
7,,799,,,0.9726027250289917,0.08906286954879761
7,1.8680672645568848,799,0.9638251066207886,0.09933701157569885,,
8,,899,,,0.9638854265213013,0.08581391721963882
8,3.0896506309509277,899,0.9702736735343933,0.08665633201599121,,
9,,999,,,0.9763387441635132,0.08076845854520798
9,2.4185309410095215,999,0.9674425721168518,0.08934888988733292,,
10,,1099,,,0.9701120853424072,0.07975944876670837
10,2.553359270095825,1099,0.9735766053199768,0.08062818646430969,,
11,,1199,,,0.968866765499115,0.09205269068479538
11,2.7002525329589844,1199,0.9743630290031433,0.07769642770290375,,
12,,1299,,,0.9539228081703186,0.10430242866277695
12,2.2837483882904053,1299,0.9749921560287476,0.07829965651035309,,
13,,1399,,,0.9701120853424072,0.0744292363524437
13,2.5565805435180664,1399,0.97719407081604,0.06930133700370789,,
14,,1499,,,0.9738480448722839,0.07068150490522385
14,2.3890187740325928,1499,0.976722240447998,0.06810274720191956,,
15,,1599,,,0.9701120853424072,0.07179074734449387
15,2.7456440925598145,1599,0.9806542992591858,0.06177719682455063,,
16,,1699,,,0.975093424320221,0.06491950154304504
16,3.442431688308716,1699,0.9809688329696655,0.06180588901042938,,
17,,1799,,,0.9726027250289917,0.06269288808107376
17,2.352147102355957,1799,0.9836426377296448,0.05538191273808479,,
18,,1899,,,0.9738480448722839,0.06402374804019928
18,2.4762368202209473,1899,0.9820698499679565,0.05380713567137718,,
19,,1999,,,0.9663760662078857,0.08222705125808716
19,0.895183801651001,1999,0.9811261296272278,0.05793497711420059,,
20,,2099,,,0.9713574051856995,0.06829369068145752
20,2.5152926445007324,2099,0.9823843836784363,0.0513450987637043,,
21,,2199,,,0.968866765499115,0.06529181450605392
21,3.1946394443511963,2199,0.984271764755249,0.048689085990190506,,
22,,2299,,,0.962640106678009,0.07773108780384064
22,2.62200927734375,2299,0.9852154850959778,0.04852082207798958,,
23,,2399,,,0.9775840640068054,0.06134651228785515
23,2.321422815322876,2399,0.983328104019165,0.047159239649772644,,
24,,2499,,,0.9825654029846191,0.055587537586688995
24,2.7761073112487793,2499,0.9820698499679565,0.046138349920511246,,
