epoch,epoch_time,step,train_acc,train_loss,val_acc,val_loss
0,,99,,,0.9190535545349121,0.2466985285282135
0,2.136197805404663,99,0.8269895911216736,0.3988431394100189,,
1,,199,,,0.9402241706848145,0.16380412876605988
1,2.438753366470337,199,0.9245045781135559,0.1967593878507614,,
2,,299,,,0.9476961493492126,0.14222010970115662
2,2.1670167446136475,299,0.9458949565887451,0.15520478785037994,,
3,,399,,,0.9676214456558228,0.10897781699895859
3,2.3850653171539307,399,0.9487259984016418,0.1478145718574524,,
4,,499,,,0.9539228081703186,0.10793843120336533
4,2.1692588329315186,499,0.9564328193664551,0.127634197473526,,
5,,599,,,0.9601494669914246,0.10472995042800903
5,2.2979445457458496,599,0.9660270810127258,0.10875246673822403,,
6,,699,,,0.968866765499115,0.08412186801433563
6,2.232989549636841,699,0.9633532762527466,0.10337276756763458,,
7,,799,,,0.9738480448722839,0.07246047258377075
7,0.8943257331848145,799,0.9698018431663513,0.09345736354589462,,
8,,899,,,0.9775840640068054,0.0690634548664093
8,2.225778102874756,899,0.970588207244873,0.08838977664709091,,
9,,999,,,0.9775840640068054,0.0678233727812767
9,2.279780149459839,999,0.9712173342704773,0.08559750765562057,,
10,,1099,,,0.9813200235366821,0.05960555374622345
10,2.3656985759735107,1099,0.974205732345581,0.07929853349924088,,
11,,1199,,,0.9850560426712036,0.05197136104106903
11,2.3206117153167725,1199,0.9781377911567688,0.07111094892024994,,
12,,1299,,,0.9788293838500977,0.05815259367227554
12,2.195213556289673,1299,0.978766918182373,0.06910085678100586,,
13,,1399,,,0.9838107228279114,0.05726329982280731
13,2.42891788482666,1399,0.9790814518928528,0.064686119556427,,
14,,1499,,,0.9813200235366821,0.050742246210575104
14,2.2581048011779785,1499,0.9760931134223938,0.06376085430383682,,
15,,1599,,,0.9800747036933899,0.05609392002224922
15,2.2132890224456787,1599,0.9804970026016235,0.058510921895504,,
16,,1699,,,0.9825654029846191,0.05197830870747566
16,2.2268643379211426,1699,0.982227087020874,0.053492266684770584,,
17,,1799,,,0.9863013625144958,0.046449944376945496
17,2.1875035762786865,1799,0.9815979599952698,0.054417163133621216,,
18,,1899,,,0.9850560426712036,0.03879949077963829
18,2.2206740379333496,1899,0.9823843836784363,0.052840959280729294,,
19,,1999,,,0.9850560426712036,0.03744104132056236
19,2.2921197414398193,1999,0.982856273651123,0.04964124411344528,,
20,,2099,,,0.9863013625144958,0.038687609136104584
20,2.307642698287964,2099,0.9819125533103943,0.050988927483558655,,
21,,2199,,,0.9838107228279114,0.03645754233002663
21,2.647216796875,2199,0.9845863580703735,0.045079320669174194,,
22,,2299,,,0.9850560426712036,0.03580412268638611
22,2.3982222080230713,2299,0.9845863580703735,0.04397754743695259,,
23,,2399,,,0.9838107228279114,0.0367189422249794
23,2.4773693084716797,2399,0.9811261296272278,0.050092462450265884,,
24,,2499,,,0.9800747036933899,0.04643679037690163
24,2.5373716354370117,2499,0.9826989769935608,0.04596942663192749,,
