epoch,epoch_time,step,train_acc,train_loss,val_acc,val_loss
0,,99,,,0.936488151550293,0.20570692420005798
0,2.0555624961853027,99,0.8200691938400269,0.44068315625190735,,
1,,199,,,0.9539228081703186,0.14983634650707245
1,2.1854569911956787,199,0.9323686957359314,0.18331730365753174,,
2,,299,,,0.968866765499115,0.1357555389404297
2,2.4973883628845215,299,0.9432211518287659,0.15312035381793976,,
3,,399,,,0.9576587677001953,0.11645741760730743
3,2.4352867603302,399,0.9487259984016418,0.13935770094394684,,
4,,499,,,0.9663760662078857,0.1102975383400917
4,2.3724253177642822,499,0.9537590146064758,0.12703987956047058,,
5,,599,,,0.9726027250289917,0.1039334386587143
5,3.1121230125427246,599,0.9562755823135376,0.11359823495149612,,
6,,699,,,0.9775840640068054,0.09199296683073044
6,2.517886161804199,699,0.9617804288864136,0.10628657788038254,,
7,,799,,,0.9589040875434875,0.1108107715845108
7,3.1411235332489014,799,0.9584774971008301,0.1054372563958168,,
8,,899,,,0.9589040875434875,0.1000761017203331
8,2.3780362606048584,899,0.9657124876976013,0.09484541416168213,,
9,,999,,,0.975093424320221,0.08621391654014587
9,2.664799690246582,999,0.9682289958000183,0.08906719833612442,,
10,,1099,,,0.9775840640068054,0.07790228724479675
10,1.2027204036712646,1099,0.9704309701919556,0.0853128656744957,,
11,,1199,,,0.9763387441635132,0.07565324008464813
11,3.1907737255096436,1199,0.9690154194831848,0.08353759348392487,,
12,,1299,,,0.9738480448722839,0.07910249382257462
12,2.93827748298645,1299,0.9694872498512268,0.08272277563810349,,
13,,1399,,,0.9663760662078857,0.08429104834794998
13,3.217376947402954,1399,0.972161054611206,0.07624822109937668,,
14,,1499,,,0.9676214456558228,0.07498477399349213
14,2.314685344696045,1499,0.9724756479263306,0.07350731641054153,,
15,,1599,,,0.9738480448722839,0.07517112046480179
15,2.2858643531799316,1599,0.9754639863967896,0.07002750784158707,,
16,,1699,,,0.9476961493492126,0.12128067761659622
16,2.524592876434326,1699,0.9760931134223938,0.06923573464155197,,
17,,1799,,,0.9738480448722839,0.07892828434705734
17,2.493213415145874,1799,0.9779804944992065,0.06885743141174316,,
18,,1899,,,0.9788293838500977,0.0659480094909668
18,2.4285309314727783,1899,0.9765649437904358,0.06778127700090408,,
19,,1999,,,0.9800747036933899,0.06586912274360657
19,2.493213415145874,1999,0.9786096215248108,0.06336290389299393,,
20,,2099,,,0.975093424320221,0.07645444571971893
20,2.4679994583129883,2099,0.9778231978416443,0.061586473137140274,,
21,,2199,,,0.9775840640068054,0.0769328847527504
21,2.4602608680725098,2199,0.97719407081604,0.062202464789152145,,
22,,2299,,,0.9788293838500977,0.0668908879160881
22,1.0487182140350342,2299,0.9804970026016235,0.059707146137952805,,
23,,2399,,,0.9763387441635132,0.06606093049049377
23,2.4198532104492188,2399,0.979710578918457,0.06248406320810318,,
24,,2499,,,0.9813200235366821,0.062376465648412704
24,2.5893068313598633,2499,0.9809688329696655,0.05484115704894066,,
