epoch,epoch_time,step,train_acc,train_loss,val_acc,val_loss
0,,99,,,0.8381071090698242,0.40678486227989197
0,2.316159963607788,99,0.7860962748527527,0.5330343842506409,,
1,,199,,,0.8792029619216919,0.2785229980945587
1,2.4442617893218994,199,0.87338787317276,0.33295127749443054,,
2,,299,,,0.9240348935127258,0.22242282330989838
2,2.378127336502075,299,0.9026423692703247,0.25730928778648376,,
3,,399,,,0.9227895140647888,0.19867217540740967
3,2.4450814723968506,399,0.9249764084815979,0.20927342772483826,,
4,,499,,,0.9464508295059204,0.1583268642425537
4,1.6794345378875732,499,0.9367725849151611,0.17815722525119781,,
5,,599,,,0.9514321088790894,0.14211076498031616
5,2.303197145462036,599,0.9458949565887451,0.1550624519586563,,
6,,699,,,0.9514321088790894,0.14112572371959686
6,2.2791872024536133,699,0.9474677443504333,0.15101775527000427,,
7,,799,,,0.9551681280136108,0.1259523183107376
7,2.446499824523926,799,0.9528153538703918,0.136694997549057,,
8,,899,,,0.9589040875434875,0.135041281580925
8,2.396322727203369,899,0.9518716335296631,0.13434956967830658,,
9,,999,,,0.9613947868347168,0.12153869867324829
9,2.4211487770080566,999,0.9553318619728088,0.12639762461185455,,
10,,1099,,,0.9564134478569031,0.1301627904176712
10,2.3488576412200928,1099,0.9595784544944763,0.11816010624170303,,
11,,1199,,,0.9601494669914246,0.11161335557699203
11,2.463324785232544,1199,0.9553318619728088,0.12248365581035614,,
12,,1299,,,0.962640106678009,0.11504865437746048
12,2.268432855606079,1299,0.9628813862800598,0.11012565344572067,,
13,,1399,,,0.9663760662078857,0.10583093017339706
13,2.3869969844818115,1399,0.9620950222015381,0.10966512560844421,,
14,,1499,,,0.9663760662078857,0.10329513251781464
14,2.4339499473571777,1499,0.9628813862800598,0.10474342107772827,,
15,,1599,,,0.9676214456558228,0.09903078526258469
15,2.2330005168914795,1599,0.9652406573295593,0.09975481778383255,,
16,,1699,,,0.9663760662078857,0.112849161028862
16,0.9166548252105713,1699,0.9669707417488098,0.09658335149288177,,
17,,1799,,,0.9701120853424072,0.09500934183597565
17,2.393202066421509,1799,0.9679144620895386,0.09416630864143372,,
18,,1899,,,0.9701120853424072,0.08970227837562561
18,2.3129751682281494,1899,0.9661843180656433,0.09105157107114792,,
19,,1999,,,0.9676214456558228,0.08585044741630554
19,2.2785675525665283,1999,0.9696445465087891,0.0874212235212326,,
20,,2099,,,0.9676214456558228,0.09748683869838715
20,2.3842480182647705,2099,0.9696445465087891,0.08891265839338303,,
21,,2199,,,0.9676214456558228,0.08536965399980545
21,2.3294007778167725,2199,0.9748348593711853,0.08046981692314148,,
22,,2299,,,0.9713574051856995,0.08842702209949493
22,2.2824881076812744,2299,0.9756212830543518,0.07745736837387085,,
23,,2399,,,0.975093424320221,0.08242533355951309
23,2.430563449859619,2399,0.9738911390304565,0.07581304013729095,,
24,,2499,,,0.968866765499115,0.0847451314330101
24,2.417811632156372,2499,0.9740484356880188,0.07239025831222534,,
