epoch,epoch_time,step,train_acc,train_loss,val_acc,val_loss
0,,99,,,0.9501867890357971,0.19441954791545868
0,1.9596281051635742,99,0.8350110054016113,0.3888503909111023,,
1,,199,,,0.9576587677001953,0.13137970864772797
1,2.3286490440368652,199,0.9411764740943909,0.16462019085884094,,
2,,299,,,0.9726027250289917,0.09431913495063782
2,2.2081871032714844,299,0.9531298875808716,0.12746720016002655,,
3,,399,,,0.9476961493492126,0.14212022721767426
3,2.215575933456421,399,0.9642969369888306,0.10899437963962555,,
4,,499,,,0.9763387441635132,0.07330229878425598
4,2.2147278785705566,499,0.9657124876976013,0.10084829479455948,,
5,,599,,,0.975093424320221,0.06629554182291031
5,2.0359230041503906,599,0.9713746309280396,0.08797446638345718,,
6,,699,,,0.9788293838500977,0.060682930052280426
6,0.8459503650665283,699,0.9737339019775391,0.08170599490404129,,
7,,799,,,0.9701120853424072,0.07621479779481888
7,2.1908607482910156,799,0.9707455039024353,0.08447881788015366,,
8,,899,,,0.9713574051856995,0.07210566103458405
8,2.2087771892547607,899,0.9749921560287476,0.07671232521533966,,
9,,999,,,0.9813200235366821,0.0570799894630909
9,2.234323024749756,999,0.9768795371055603,0.07223627716302872,,
10,,1099,,,0.9800747036933899,0.05046185106039047
10,2.2338175773620605,1099,0.9803397059440613,0.06634265929460526,,
11,,1199,,,0.9800747036933899,0.05172135680913925
11,2.2154111862182617,1199,0.9748348593711853,0.07088972628116608,,
12,,1299,,,0.9788293838500977,0.053713906556367874
12,2.1743483543395996,1299,0.9804970026016235,0.05952949821949005,,
13,,1399,,,0.975093424320221,0.05265188589692116
13,2.0947353839874268,1399,0.982227087020874,0.0596410371363163,,
14,,1499,,,0.9788293838500977,0.042737655341625214
14,2.3010094165802,1499,0.9826989769935608,0.05688101053237915,,
15,,1599,,,0.9775840640068054,0.05044768005609512
15,2.282073974609375,1599,0.9826989769935608,0.054296184331178665,,
16,,1699,,,0.9800747036933899,0.0463717021048069
16,2.2459404468536377,1699,0.98537278175354,0.049623314291238785,,
17,,1799,,,0.9838107228279114,0.04448876157402992
17,2.193143844604492,1799,0.9849008917808533,0.04619116336107254,,
18,,1899,,,0.9863013625144958,0.037599220871925354
18,2.249950885772705,1899,0.9856873154640198,0.046237513422966,,
19,,1999,,,0.9800747036933899,0.04252387583255768
19,2.220602035522461,1999,0.9856873154640198,0.04468116536736488,,
