epoch,epoch_time,step,train_acc,train_loss,val_acc,val_loss
0,,99,,,0.8754670023918152,0.35067296028137207
0,2.814659595489502,99,0.7849952578544617,0.5314827561378479,,
1,,199,,,0.931506872177124,0.19699802994728088
1,2.495469570159912,199,0.9116074442863464,0.252787321805954,,
2,,299,,,0.936488151550293,0.16485348343849182
2,2.3642055988311768,299,0.9353570342063904,0.18781667947769165,,
3,,399,,,0.9414694905281067,0.14011651277542114
3,2.4094552993774414,399,0.9427493214607239,0.16303695738315582,,
4,,499,,,0.9476961493492126,0.14039406180381775
4,2.430615186691284,499,0.9418056011199951,0.1635892391204834,,
5,,599,,,0.9564134478569031,0.12152145802974701
5,3.433563470840454,599,0.9447939395904541,0.14813773334026337,,
6,,699,,,0.9576587677001953,0.11207140982151031
6,2.2698113918304443,699,0.9515570998191833,0.14086222648620605,,
7,,799,,,0.9601494669914246,0.10841421037912369
7,2.361416816711426,799,0.9520289301872253,0.13162629306316376,,
8,,899,,,0.9651307463645935,0.10458263754844666
8,1.1825718879699707,899,0.9559609889984131,0.12727627158164978,,
9,,999,,,0.9701120853424072,0.09780624508857727
9,2.336937189102173,999,0.9570619463920593,0.12194313853979111,,
10,,1099,,,0.9713574051856995,0.09299322962760925
10,2.2247252464294434,1099,0.9575338363647461,0.11671584844589233,,
11,,1199,,,0.9713574051856995,0.0970785915851593
11,3.436964750289917,1199,0.9627241492271423,0.11134832352399826,,
12,,1299,,,0.968866765499115,0.08701187372207642
12,2.332010507583618,1299,0.9644542336463928,0.10437047481536865,,
13,,1399,,,0.9775840640068054,0.08050643652677536
13,2.316788673400879,1399,0.9639824032783508,0.10774120688438416,,
14,,1499,,,0.9775840640068054,0.0766083151102066
14,2.3435487747192383,1499,0.9650833606719971,0.10030151903629303,,
15,,1599,,,0.9800747036933899,0.07412304729223251
15,2.4158096313476562,1599,0.9693299531936646,0.09203465282917023,,
16,,1699,,,0.9825654029846191,0.07171803712844849
16,2.4584012031555176,1699,0.9702736735343933,0.08884982019662857,,
17,,1799,,,0.9788293838500977,0.07356198877096176
17,3.162747621536255,1799,0.9720037579536438,0.08297087252140045,,
18,,1899,,,0.968866765499115,0.08609599620103836
18,2.3970580101013184,1899,0.9712173342704773,0.08252608776092529,,
19,,1999,,,0.9788293838500977,0.07154541462659836
19,2.279340982437134,1999,0.9729474782943726,0.07891111820936203,,
20,,2099,,,0.9788293838500977,0.06493057310581207
20,0.8470048904418945,2099,0.9745202660560608,0.07680819183588028,,
21,,2199,,,0.9788293838500977,0.06258218735456467
21,2.492002248764038,2199,0.9764076471328735,0.07160726189613342,,
22,,2299,,,0.9838107228279114,0.06153729930520058
22,3.2046501636505127,2299,0.9781377911567688,0.06823667883872986,,
23,,2399,,,0.9850560426712036,0.06296184659004211
23,2.5082881450653076,2399,0.9786096215248108,0.06524050235748291,,
24,,2499,,,0.9825654029846191,0.0585358627140522
24,2.3399770259857178,2499,0.9786096215248108,0.06499014049768448,,
