epoch,epoch_time,step,train_acc,train_loss,val_acc,val_loss
0,,99,,,0.9190535545349121,0.20229996740818024
0,2.044811964035034,99,0.8100031614303589,0.4065011143684387,,
1,,199,,,0.9452054500579834,0.13269254565238953
1,2.2590935230255127,199,0.9331550598144531,0.17644111812114716,,
2,,299,,,0.9726027250289917,0.10297328233718872
2,2.2671265602111816,299,0.9507706761360168,0.13309569656848907,,
3,,399,,,0.9763387441635132,0.0909276008605957
3,2.238090991973877,399,0.9594212174415588,0.11621260643005371,,
4,,499,,,0.9775840640068054,0.07740499824285507
4,2.374756336212158,499,0.9609940052032471,0.1093357503414154,,
5,,599,,,0.9663760662078857,0.08336394280195236
5,2.2563130855560303,599,0.9624095559120178,0.10754138231277466,,
6,,699,,,0.9813200235366821,0.07042349874973297
6,0.895550012588501,699,0.9675998687744141,0.09459222108125687,,
7,,799,,,0.9775840640068054,0.06047160550951958
7,2.3381590843200684,799,0.9754639863967896,0.08151663839817047,,
8,,899,,,0.9763387441635132,0.06549520045518875
8,2.202338218688965,899,0.974677562713623,0.0775332823395729,,
9,,999,,,0.9788293838500977,0.0638350322842598
9,2.3059115409851074,999,0.976722240447998,0.07548708468675613,,
10,,1099,,,0.9800747036933899,0.05290225148200989
10,2.141385793685913,1099,0.9773513674736023,0.07095682621002197,,
11,,1199,,,0.9788293838500977,0.050644028931856155
11,2.250035524368286,1199,0.9776659607887268,0.07071304321289062,,
12,,1299,,,0.9800747036933899,0.05588003247976303
12,2.2275331020355225,1299,0.9778231978416443,0.06401548534631729,,
13,,1399,,,0.9850560426712036,0.044866617769002914
13,2.2934648990631104,1399,0.9800251722335815,0.05958015099167824,,
14,,1499,,,0.9838107228279114,0.049735408276319504
14,2.288867473602295,1499,0.9825416803359985,0.05549292638897896,,
15,,1599,,,0.9850560426712036,0.041578564792871475
15,2.3090202808380127,1599,0.9823843836784363,0.05468158796429634,,
16,,1699,,,0.9788293838500977,0.0536307767033577
16,2.251711368560791,1699,0.982856273651123,0.05118468031287193,,
17,,1799,,,0.9738480448722839,0.06531216949224472
17,2.1442227363586426,1799,0.9830135107040405,0.05113079398870468,,
18,,1899,,,0.9875466823577881,0.038571253418922424
18,2.256270408630371,1899,0.98537278175354,0.04877150058746338,,
19,,1999,,,0.9863013625144958,0.04140558838844299
19,2.262458086013794,1999,0.9849008917808533,0.048437830060720444,,
20,,2099,,,0.9825654029846191,0.0378476120531559
20,0.857292652130127,2099,0.9872601628303528,0.045341018587350845,,
21,,2199,,,0.9863013625144958,0.04305874556303024
21,2.224194049835205,2199,0.9844290614128113,0.04698590934276581,,
22,,2299,,,0.9825654029846191,0.03679841011762619
22,2.2493348121643066,2299,0.9885184168815613,0.04040254279971123,,
23,,2399,,,0.9838107228279114,0.041097044944763184
23,2.2619855403900146,2399,0.9849008917808533,0.04256448149681091,,
24,,2499,,,0.9775840640068054,0.04515429958701134
24,2.1307802200317383,2499,0.9874173998832703,0.04053662717342377,,
