epoch,epoch_time,step,train_acc,train_loss,val_acc,val_loss
0,,99,,,0.9252802133560181,0.18484854698181152
0,1.8651535511016846,99,0.8575023412704468,0.348953515291214,,
1,,199,,,0.962640106678009,0.12645862996578217
1,2.468780517578125,199,0.9471532106399536,0.152792289853096,,
2,,299,,,0.9651307463645935,0.12070345133543015
2,2.315467119216919,299,0.9558036923408508,0.12969262897968292,,
3,,399,,,0.9651307463645935,0.1006634384393692
3,2.3273537158966064,399,0.9603648781776428,0.1114819198846817,,
4,,499,,,0.975093424320221,0.08167454600334167
4,2.222341299057007,499,0.9620950222015381,0.107033371925354,,
5,,599,,,0.9713574051856995,0.07861349731683731
5,2.33779239654541,599,0.968071699142456,0.09607725590467453,,
6,,699,,,0.975093424320221,0.06932321190834045
6,2.343266248703003,699,0.9699590802192688,0.08912470936775208,,
7,,799,,,0.9788293838500977,0.06616489589214325
7,2.3847885131835938,799,0.972161054611206,0.08095492422580719,,
8,,899,,,0.975093424320221,0.07086864858865738
8,2.371173143386841,899,0.9753066897392273,0.07706444710493088,,
9,,999,,,0.9638854265213013,0.09585657715797424
9,2.2756683826446533,999,0.9729474782943726,0.08192296326160431,,
10,,1099,,,0.9763387441635132,0.05697224289178848
10,2.24841046333313,1099,0.9778231978416443,0.06708789616823196,,
11,,1199,,,0.9775840640068054,0.05683467909693718
11,2.142880439758301,1199,0.9804970026016235,0.06386534869670868,,
12,,1299,,,0.9813200235366821,0.05264924839138985
12,2.3672218322753906,1299,0.9804970026016235,0.06576155871152878,,
13,,1399,,,0.9838107228279114,0.05138679966330528
13,2.1972622871398926,1399,0.9815979599952698,0.06146692857146263,,
14,,1499,,,0.9850560426712036,0.04761991277337074
14,2.260091781616211,1499,0.9809688329696655,0.062496934086084366,,
15,,1599,,,0.9738480448722839,0.06930665671825409
15,2.2388062477111816,1599,0.9819125533103943,0.05444968119263649,,
16,,1699,,,0.9825654029846191,0.04956984519958496
16,2.3430261611938477,1699,0.9811261296272278,0.0569339357316494,,
17,,1799,,,0.9825654029846191,0.04044214263558388
17,2.388239622116089,1799,0.9839572310447693,0.05045511946082115,,
18,,1899,,,0.9863013625144958,0.03844790533185005
18,2.386723518371582,1899,0.98537278175354,0.04720309376716614,,
19,,1999,,,0.9850560426712036,0.04506649449467659
19,1.0340304374694824,1999,0.9836426377296448,0.05195382982492447,,
20,,2099,,,0.9863013625144958,0.039024271070957184
20,2.459669828414917,2099,0.9849008917808533,0.04580167308449745,,
21,,2199,,,0.9887920022010803,0.04026835411787033
21,2.4862027168273926,2199,0.9866310358047485,0.042699482291936874,,
22,,2299,,,0.9912827014923096,0.03411174938082695
22,2.3710920810699463,2299,0.9869455695152283,0.04375573620200157,,
23,,2399,,,0.9850560426712036,0.03573877364397049
23,2.330590009689331,2399,0.985844612121582,0.04038666561245918,,
24,,2499,,,0.9887920022010803,0.04070677608251572
24,2.3297858238220215,2499,0.9849008917808533,0.04299810156226158,,
