epoch,epoch_time,step,train_acc,train_loss,val_acc,val_loss
0,,99,,,0.8032378554344177,0.4647490680217743
0,2.292555093765259,99,0.7486631274223328,0.5808967351913452,,
1,,199,,,0.8530510663986206,0.34570562839508057
1,2.481910467147827,199,0.8391003608703613,0.3910459578037262,,
2,,299,,,0.8904109597206116,0.2826867997646332
2,2.8456785678863525,299,0.8762189149856567,0.31595438718795776,,
3,,399,,,0.8816936612129211,0.28289222717285156
3,1.3626306056976318,399,0.8949354887008667,0.2703774571418762,,
4,,499,,,0.9115815758705139,0.22560767829418182
4,2.7279083728790283,499,0.9112928509712219,0.24487479031085968,,
5,,599,,,0.9153175354003906,0.20373652875423431
5,3.4763078689575195,599,0.9224599003791809,0.21992193162441254,,
6,,699,,,0.9215441942214966,0.1924823820590973
6,2.6174278259277344,699,0.9245045781135559,0.20359578728675842,,
7,,799,,,0.931506872177124,0.17170295119285583
7,2.690924882888794,799,0.9303240180015564,0.1952301561832428,,
8,,899,,,0.931506872177124,0.17359670996665955
8,2.486508846282959,899,0.9348852038383484,0.17950966954231262,,
9,,999,,,0.9339975118637085,0.16332729160785675
9,2.5885322093963623,999,0.9385026693344116,0.17071855068206787,,
10,,1099,,,0.9452054500579834,0.14481544494628906
10,2.4135489463806152,1099,0.9405473470687866,0.16208381950855255,,
11,,1199,,,0.9389788508415222,0.1459350287914276
11,3.4441916942596436,1199,0.9438502788543701,0.15596841275691986,,
12,,1299,,,0.9489414691925049,0.13492043316364288
12,2.4042296409606934,1299,0.9487259984016418,0.14789645373821259,,
13,,1399,,,0.9452054500579834,0.1276366263628006
13,2.425410509109497,1399,0.9485687613487244,0.1426987498998642,,
14,,1499,,,0.9427148103713989,0.13920116424560547
14,2.57576322555542,1499,0.9498270153999329,0.1378890424966812,,
15,,1599,,,0.9539228081703186,0.12641078233718872
15,1.0549192428588867,1599,0.9504561424255371,0.13476645946502686,,
16,,1699,,,0.9551681280136108,0.11431854963302612
16,2.5293378829956055,1699,0.9539163112640381,0.1257253885269165,,
17,,1799,,,0.9564134478569031,0.10859590768814087
17,3.554422378540039,1799,0.9558036923408508,0.12421943247318268,,
18,,1899,,,0.9564134478569031,0.1100860983133316
18,2.4067447185516357,1899,0.9548600316047668,0.12335765361785889,,
19,,1999,,,0.9476961493492126,0.13753318786621094
19,2.575474739074707,1999,0.9609940052032471,0.11163129657506943,,
20,,2099,,,0.962640106678009,0.10227800905704498
20,2.4703116416931152,2099,0.9644542336463928,0.10670746862888336,,
21,,2199,,,0.962640106678009,0.0976719856262207
21,2.3433327674865723,2199,0.9641396403312683,0.10388607531785965,,
22,,2299,,,0.9601494669914246,0.11784085631370544
22,3.5547103881835938,2299,0.9668134450912476,0.10080450773239136,,
23,,2399,,,0.9663760662078857,0.09570074826478958
23,2.5383355617523193,2399,0.9663416147232056,0.0969914123415947,,
24,,2499,,,0.9651307463645935,0.09138116985559464
24,2.6169257164001465,2499,0.9661843180656433,0.09595315158367157,,
