epoch,epoch_time,step,train_acc,train_loss,val_acc,val_loss
0,,99,,,0.9165629148483276,0.2099999338388443
0,2.151237964630127,99,0.8405159115791321,0.373136430978775,,
1,,199,,,0.9464508295059204,0.1321456879377365
1,0.8086977005004883,199,0.9317395687103271,0.17673872411251068,,
2,,299,,,0.968866765499115,0.11349929869174957
2,2.2200069427490234,299,0.9509279727935791,0.13653478026390076,,
3,,399,,,0.9601494669914246,0.10765710473060608
3,2.2619216442108154,399,0.9609940052032471,0.1155601516366005,,
4,,499,,,0.9763387441635132,0.07875745743513107
4,2.1610019207000732,499,0.9628813862800598,0.10774605721235275,,
5,,599,,,0.9564134478569031,0.11420118808746338
5,2.2394707202911377,599,0.9666562080383301,0.10284816473722458,,
6,,699,,,0.9726027250289917,0.0778384581208229
6,2.1222784519195557,699,0.9704309701919556,0.09047061204910278,,
7,,799,,,0.9713574051856995,0.0792139396071434
7,2.2277610301971436,799,0.9748348593711853,0.07874582707881927,,
8,,899,,,0.975093424320221,0.07833065092563629
8,2.3609635829925537,899,0.9731047749519348,0.08232059329748154,,
9,,999,,,0.975093424320221,0.0653802827000618
9,2.1144793033599854,999,0.9773513674736023,0.0696960911154747,,
10,,1099,,,0.9788293838500977,0.0591420941054821
10,2.2558579444885254,1099,0.979238748550415,0.0674138069152832,,
11,,1199,,,0.9775840640068054,0.062097009271383286
11,2.168367385864258,1199,0.9764076471328735,0.06703630089759827,,
12,,1299,,,0.9713574051856995,0.07169681042432785
12,2.28948974609375,1299,0.9793960452079773,0.06531891971826553,,
13,,1399,,,0.975093424320221,0.06372790783643723
13,2.265594244003296,1399,0.9784523248672485,0.06391153484582901,,
14,,1499,,,0.9738480448722839,0.05347829684615135
14,2.305105209350586,1499,0.9806542992591858,0.058466825634241104,,
15,,1599,,,0.9825654029846191,0.050132185220718384
15,0.819671630859375,1599,0.980811595916748,0.056735653430223465,,
16,,1699,,,0.9813200235366821,0.0612558014690876
16,2.2689623832702637,1699,0.9814407229423523,0.053315404802560806,,
17,,1799,,,0.9738480448722839,0.05508383363485336
17,2.309729814529419,1799,0.9800251722335815,0.05535692349076271,,
18,,1899,,,0.9825654029846191,0.04583703354001045
18,2.2231712341308594,1899,0.9806542992591858,0.055285222828388214,,
19,,1999,,,0.9800747036933899,0.049235936254262924
19,2.1613099575042725,1999,0.9844290614128113,0.04625267907977104,,
